UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P801;P802;P803;P804;FEX_MUJER
5167;20;1;2021;6;2;3;3;3;1;3;396
5167;26;1;2021;6;2;3;3;3;1;1;381
5167;29;1;2021;6;2;3;1;1;1;1;753
5167;34;1;2021;6;2;3;3;3;3;3;255
5189;7;1;2021;1;3;2;3;3;3;3;200
5189;9;1;2021;1;3;2;3;3;3;3;945
5189;24;1;2021;1;3;2;1;1;1;1;771
5189;26;1;2021;1;3;2;3;3;3;3;589
5189;30;1;2021;1;3;2;3;3;3;3;179
5189;34;1;2021;1;3;2;3;3;3;3;663
5189;41;1;2021;1;3;2;3;1;1;1;545
5189;48;1;2021;1;3;2;3;2;1;1;268
5189;49;1;2021;1;3;2;3;3;3;3;251
5230;1;1;2021;1;3;2;3;3;3;3;1195
5230;7;1;2021;1;3;2;3;1;1;3;1623
5230;10;1;2021;1;3;2;3;3;3;1;559
5230;43;1;2021;1;3;2;3;3;1;1;476
5230;47;1;2021;1;3;2;3;3;3;3;507
5230;48;1;2021;1;3;2;3;3;1;3;380
5230;50;1;2021;1;3;2;3;3;3;3;559
5230;54;1;2021;1;3;2;3;3;3;3;534
5351;2;1;2021;6;3;3;3;3;3;3;408
5351;3;1;2021;6;3;3;2;2;1;2;541
5351;7;1;2021;6;3;3;1;3;1;1;408
5351;11;1;2021;6;3;3;1;2;1;1;634
5351;14;1;2021;6;3;3;3;3;3;3;909
5351;19;1;2021;6;3;3;3;3;1;3;624
5351;22;1;2021;6;3;3;3;3;3;3;994
5532;6;1;2021;6;3;3;3;1;1;3;489
5532;8;1;2021;6;3;3;1;1;1;1;497
5532;13;1;2021;6;3;3;1;1;1;1;464
5532;17;1;2021;6;3;3;3;1;3;3;356
5532;18;1;2021;6;3;3;3;3;1;3;979
5532;19;1;2021;6;3;3;8;8;3;3;464
5532;26;1;2021;6;3;3;3;3;3;3;424
5532;29;1;2021;6;3;3;2;2;2;2;489
5532;32;1;2021;6;3;3;3;3;3;3;979
5532;39;1;2021;6;3;3;3;3;3;3;464
5624;2;1;2021;1;3;2;3;1;1;1;4120
5624;23;1;2021;1;3;2;1;1;1;3;842
5624;37;1;2021;1;3;2;2;2;2;2;2259
5624;46;1;2021;1;3;2;3;3;3;3;762
5624;50;1;2021;1;3;2;3;3;1;1;590
5624;64;1;2021;1;3;2;3;3;1;3;1070
5624;67;1;2021;1;3;2;3;3;3;1;671
5657;3;1;2021;6;3;3;3;1;3;1;1102
5657;4;1;2021;6;3;3;3;1;1;1;1047
5657;17;1;2021;6;3;3;3;1;3;3;709
5657;19;1;2021;6;3;3;3;1;3;3;551
5657;20;1;2021;6;3;3;3;3;1;3;543
5657;22;1;2021;6;3;3;1;1;3;1;470
5657;30;1;2021;6;3;3;1;1;3;3;790
5762;8;1;2021;6;3;3;3;3;3;3;961
5762;18;1;2021;6;3;3;3;3;3;3;986
5762;38;1;2021;6;3;3;3;3;1;3;649
5762;49;1;2021;6;3;3;3;3;3;3;1923
5762;53;1;2021;6;3;3;3;3;1;3;1957
5881;2;1;2021;1;3;2;3;3;3;3;935
5881;6;1;2021;1;3;2;3;3;3;3;1297
5881;8;1;2021;1;3;2;3;3;3;3;318
5881;16;1;2021;1;3;2;3;3;3;3;701
5881;30;1;2021;1;3;2;3;1;3;3;399
5881;37;1;2021;1;3;2;1;1;1;3;400
5881;38;1;2021;1;3;2;1;1;1;1;864
5881;42;1;2021;1;3;2;3;3;3;3;400
5881;43;1;2021;1;3;2;3;3;3;3;636
5881;49;1;2021;1;3;2;3;3;3;3;425
5928;3;1;2021;6;3;3;2;2;3;3;629
5928;4;1;2021;6;3;3;3;3;3;1;1244
5928;5;1;2021;6;3;3;3;1;3;3;422
5928;6;1;2021;6;3;3;3;3;3;3;655
5928;19;1;2021;6;3;3;3;3;1;3;629
5928;23;1;2021;6;3;3;1;1;3;3;645
5928;32;1;2021;6;3;3;2;2;3;3;559
5928;33;1;2021;6;3;3;3;1;3;3;1117
5928;39;1;2021;6;3;3;3;3;3;3;1290
6070;2;1;2021;6;3;3;3;3;1;3;172
6070;3;1;2021;6;3;3;1;1;3;3;535
6070;6;1;2021;6;3;3;3;3;1;1;508
6070;7;1;2021;6;3;3;3;1;1;3;261
6070;8;1;2021;6;3;3;3;3;3;3;575
6070;10;1;2021;6;3;3;3;3;2;2;209
6070;17;1;2021;6;3;3;3;3;3;2;249
6070;19;1;2021;6;3;3;1;1;1;1;438
6165;11;1;2021;1;3;2;3;1;3;1;1023
6165;32;1;2021;1;3;2;3;3;3;3;728
6165;40;1;2021;1;3;2;3;1;3;3;2213
6165;43;1;2021;1;3;2;3;3;3;3;728
6165;60;1;2021;1;3;2;3;3;3;1;728
6186;8;1;2021;6;3;3;3;3;3;3;516
6186;13;1;2021;6;3;3;1;1;1;2;502
6186;16;1;2021;6;3;3;3;3;3;3;379
6186;18;1;2021;6;3;3;3;3;1;1;986
6186;23;1;2021;6;3;3;3;3;3;3;493
6186;25;1;2021;6;3;3;3;3;3;3;1136
6186;26;1;2021;6;3;3;1;1;1;1;1056
6186;35;1;2021;6;3;3;3;3;3;3;558
6285;6;1;2021;6;3;3;3;1;1;1;427
6285;11;1;2021;6;3;3;3;3;1;3;354
6285;16;1;2021;6;3;3;3;1;1;3;465
6285;22;1;2021;6;3;3;3;3;3;1;707
6285;26;1;2021;6;3;3;3;1;3;1;1066
6285;45;1;2021;6;3;3;3;3;3;3;707
6285;51;1;2021;6;3;3;3;3;3;3;577
6285;56;1;2021;6;3;3;3;3;3;3;465
6401;5;1;2021;1;3;2;3;3;1;3;1195
6401;9;1;2021;1;3;2;3;3;3;2;1084
6401;13;1;2021;1;3;2;3;3;3;3;3087
6401;14;1;2021;1;3;2;1;1;3;3;2947
6401;38;1;2021;1;3;2;3;3;1;3;3188
6535;6;1;2021;1;3;2;3;3;3;3;500
6535;9;1;2021;1;3;2;2;2;3;3;755
6535;11;1;2021;1;3;2;3;3;3;3;924
6535;12;1;2021;1;3;2;3;3;1;3;683
6535;20;2;2021;1;3;2;3;3;1;1;377
6535;23;1;2021;1;3;2;3;3;3;3;265
6535;40;1;2021;1;3;2;3;3;1;1;321
6535;42;1;2021;1;3;2;3;3;3;3;377
6535;47;1;2021;1;3;2;3;3;3;1;720
6572;2;1;2021;6;3;3;3;3;3;3;1368
6572;4;1;2021;6;3;3;3;3;3;3;417
6572;6;1;2021;6;3;3;3;3;3;3;356
6572;10;1;2021;6;3;3;2;2;3;1;417
6572;22;1;2021;6;3;3;3;1;3;3;389
6572;26;1;2021;6;3;3;3;1;3;1;396
6572;30;1;2021;6;3;3;1;1;3;3;834
6572;38;1;2021;6;3;3;2;2;2;2;270
6572;39;1;2021;6;3;3;3;1;1;1;269
6572;44;1;2021;6;3;3;3;1;1;1;401
6662;1;1;2021;6;3;3;3;3;3;3;636
6662;10;1;2021;6;3;3;3;3;1;1;422
6662;11;1;2021;6;3;3;3;1;1;1;511
6662;26;1;2021;6;3;3;3;3;3;3;651
6662;27;1;2021;6;3;3;3;3;3;3;2066
6662;28;1;2021;6;3;3;3;1;3;1;1283
6662;37;1;2021;6;3;3;3;2;2;2;608
6705;5;1;2021;1;4;2;1;1;1;1;269
6705;9;1;2021;1;4;2;1;1;1;1;269
6705;30;1;2021;1;4;2;3;2;2;2;319
6705;32;1;2021;1;4;2;1;1;3;1;996
6705;41;1;2021;1;4;2;3;3;3;1;307
6705;47;1;2021;1;4;2;3;1;1;1;307
6705;66;1;2021;1;4;2;8;1;1;2;326
6705;70;1;2021;1;4;2;1;1;1;1;319
6705;72;1;2021;1;4;2;3;1;3;1;307
6705;75;1;2021;1;4;2;3;3;3;3;664
6817;13;1;2021;1;4;2;3;1;1;1;659
6817;17;1;2021;1;4;2;3;3;3;3;631
6817;25;1;2021;1;4;2;3;3;3;3;562
6817;27;1;2021;1;4;2;3;3;3;1;494
6817;28;1;2021;1;4;2;3;3;3;3;1755
6817;38;1;2021;1;4;2;3;3;1;1;802
6817;54;1;2021;1;4;2;3;3;3;3;563
6824;4;1;2021;1;4;2;3;1;1;1;1895
6824;19;1;2021;1;4;2;3;3;1;3;978
6824;21;1;2021;1;4;2;3;3;1;3;579
6824;27;1;2021;1;4;2;3;3;3;3;557
6824;31;1;2021;1;4;2;3;3;1;1;925
6824;44;1;2021;1;4;2;3;3;3;3;652
6824;46;1;2021;1;4;2;3;3;3;3;557
6824;48;1;2021;1;4;2;3;3;3;3;2790
6920;4;1;2021;1;4;2;3;3;1;3;1319
6920;30;1;2021;1;4;2;3;3;3;3;737
6920;37;1;2021;1;4;2;3;3;3;3;589
6920;48;1;2021;1;4;2;3;3;1;3;612
6920;60;1;2021;1;4;2;3;1;3;1;689
6920;63;1;2021;1;4;2;1;1;1;3;2212
6920;87;1;2021;1;4;2;3;3;1;1;589
6920;90;1;2021;1;4;2;3;3;1;1;668
6982;1;1;2021;6;4;3;8;8;3;3;475
6982;9;1;2021;6;4;3;3;3;3;1;517
6982;14;1;2021;6;4;3;3;1;1;1;566
6982;15;1;2021;6;4;3;3;3;1;1;566
6982;20;1;2021;6;4;3;2;2;1;1;517
6982;30;1;2021;6;4;3;3;3;3;3;566
6982;35;1;2021;6;4;3;2;2;2;2;597
6982;37;1;2021;6;4;3;3;3;3;3;390
6982;42;1;2021;6;4;3;2;2;1;2;517
7051;1;1;2021;6;4;3;3;3;3;3;975
7051;2;1;2021;6;4;3;3;3;3;3;1000
7051;19;1;2021;6;4;3;3;3;3;1;433
7051;22;1;2021;6;4;3;3;3;3;3;398
7051;27;1;2021;6;4;3;3;3;3;3;508
7051;30;1;2021;6;4;3;3;1;3;3;364
7051;31;1;2021;6;4;3;2;2;2;2;433
7051;46;1;2021;6;4;3;3;3;3;3;965
7051;47;1;2021;6;4;3;3;1;1;1;992
7051;53;1;2021;6;4;3;3;3;3;3;329
7191;2;1;2021;6;4;3;3;3;1;3;656
7191;12;1;2021;6;4;3;3;3;3;3;502
7191;15;1;2021;6;4;3;2;2;2;2;434
7191;17;1;2021;6;4;3;3;1;3;3;365
7191;28;1;2021;6;4;3;3;3;3;3;984
7191;29;1;2021;6;4;3;3;3;3;3;509
7191;30;1;2021;6;4;3;3;3;3;3;484
7191;31;1;2021;6;4;3;1;1;3;3;489
7191;33;1;2021;6;4;3;3;1;1;1;502
7191;38;1;2021;6;4;3;3;1;1;1;1003
7197;16;1;2021;1;4;2;3;3;3;3;796
7197;21;1;2021;1;4;2;3;1;1;1;361
7197;27;1;2021;1;4;2;3;3;3;3;376
7197;28;1;2021;1;4;2;3;3;3;1;361
7197;30;1;2021;1;4;2;3;3;3;1;398
7197;50;1;2021;1;4;2;3;3;3;3;1015
7197;57;1;2021;1;4;2;3;1;1;1;453
7297;3;1;2021;6;4;3;3;3;3;1;351
7297;6;1;2021;6;4;3;3;3;3;3;231
7297;15;1;2021;6;4;3;3;3;3;3;515
7297;18;1;2021;6;4;3;1;1;3;1;1178
7297;22;1;2021;6;4;3;3;3;3;3;718
7297;26;1;2021;6;4;3;3;3;3;3;702
7297;29;1;2021;6;4;3;3;2;1;3;231
7297;31;1;2021;6;4;3;3;3;3;3;335
7297;38;1;2021;6;4;3;1;3;3;3;682
7297;43;1;2021;6;4;3;3;3;3;3;335
7408;2;1;2021;6;4;3;1;1;3;3;1381
7408;12;1;2021;6;4;3;3;3;3;3;460
7408;24;1;2021;6;4;3;3;3;3;3;303
7408;25;1;2021;6;4;3;3;1;3;1;444
7408;30;1;2021;6;4;3;3;3;3;3;921
7408;41;1;2021;6;4;3;1;1;1;1;1533
7408;45;1;2021;6;4;3;1;3;3;3;449
7408;46;1;2021;6;4;3;3;3;3;3;366
7408;53;1;2021;6;4;3;3;3;3;3;449
7408;69;1;2021;6;4;3;3;3;1;1;457
7513;1;1;2021;1;4;2;3;1;1;1;716
7513;11;1;2021;1;4;2;3;3;3;3;375
7513;13;1;2021;1;4;2;3;1;1;1;344
7513;16;1;2021;1;4;2;2;2;3;2;716
7513;25;1;2021;1;4;2;3;3;3;3;370
7513;25;2;2021;1;4;2;3;1;1;1;331
7513;27;1;2021;1;4;2;3;3;1;3;660
7513;31;1;2021;1;4;2;3;3;3;3;662
7513;45;1;2021;1;4;2;3;3;1;3;370
7513;53;1;2021;1;4;2;3;1;1;3;330
7513;56;1;2021;1;4;2;3;3;1;3;1013
7559;6;1;2021;6;4;3;3;3;3;3;317
7559;14;1;2021;6;4;3;3;3;3;3;262
7559;21;1;2021;6;4;3;3;3;3;3;405
7559;22;1;2021;6;4;3;3;1;1;1;1327
7559;27;1;2021;6;4;3;3;1;1;1;1047
7559;30;1;2021;6;4;3;3;1;1;3;791
7559;31;1;2021;6;4;3;3;3;3;3;523
7559;32;1;2021;6;4;3;3;3;1;1;260
7559;33;1;2021;6;4;3;3;3;3;3;262
7660;2;1;2021;6;4;3;1;1;1;3;634
7660;5;1;2021;6;4;3;3;3;3;3;232
7660;6;1;2021;6;4;3;3;3;3;3;1595
7660;12;1;2021;6;4;3;3;3;3;3;311
7660;14;1;2021;6;4;3;3;3;3;3;308
7660;18;1;2021;6;4;3;3;1;1;1;317
7660;20;1;2021;6;4;3;3;3;1;1;303
7660;22;1;2021;6;4;3;3;3;3;3;324
7660;28;1;2021;6;4;3;3;3;3;3;649
7660;38;1;2021;6;4;3;2;2;2;2;311
7777;3;1;2021;1;5;2;2;2;1;1;270
7777;10;1;2021;1;5;2;3;3;3;1;811
7777;15;1;2021;1;5;2;1;1;3;1;281
7777;27;1;2021;1;5;2;3;3;3;3;317
7777;41;1;2021;1;5;2;3;1;1;1;270
7777;43;1;2021;1;5;2;3;3;3;3;303
7777;44;1;2021;1;5;2;3;1;3;3;317
7777;46;1;2021;1;5;2;2;2;1;2;270
7777;48;1;2021;1;5;2;2;2;3;3;338
7777;52;1;2021;1;5;2;3;3;3;3;281
7783;7;1;2021;1;5;2;3;3;3;3;537
7783;17;1;2021;1;5;2;3;3;1;3;398
7783;19;1;2021;1;5;2;3;3;3;3;537
7783;39;1;2021;1;5;2;1;2;1;1;683
7783;48;1;2021;1;5;2;3;3;3;3;600
7783;51;1;2021;1;5;2;3;1;3;1;2245
7783;55;1;2021;1;5;2;3;3;3;3;398
7783;63;1;2021;1;5;2;3;3;3;3;600
7783;66;1;2021;1;5;2;3;1;3;3;479
7783;79;1;2021;1;5;2;3;3;1;3;1495
7804;6;1;2021;1;5;2;3;3;3;3;497
7804;12;1;2021;1;5;2;3;3;3;3;582
7804;14;1;2021;1;5;2;3;3;1;3;497
7804;25;1;2021;1;5;2;3;3;1;1;538
7804;37;1;2021;1;5;2;3;3;3;3;1114
7804;56;1;2021;1;5;2;3;3;1;3;1245
7804;66;1;2021;1;5;2;3;3;3;3;497
7804;74;1;2021;1;5;2;3;3;3;3;497
7804;78;1;2021;1;5;2;3;3;1;3;564
7804;83;1;2021;1;5;2;2;2;1;1;1245
7814;9;1;2021;1;5;2;3;3;3;1;524
7814;11;1;2021;1;5;2;3;3;3;3;501
7814;12;1;2021;1;5;2;3;3;3;3;501
7814;27;1;2021;1;5;2;3;3;3;3;393
7814;32;1;2021;1;5;2;3;3;1;3;448
7814;40;1;2021;1;5;2;3;3;1;3;476
7814;44;1;2021;1;5;2;3;3;1;3;501
7814;53;1;2021;1;5;2;3;3;1;3;501
7814;61;1;2021;1;5;2;3;3;3;3;560
7878;5;1;2021;1;5;2;3;3;2;2;752
7878;13;1;2021;1;5;2;3;3;3;3;776
7878;17;1;2021;1;5;2;3;2;1;1;1661
7878;20;1;2021;1;5;2;3;3;1;1;582
7878;24;1;2021;1;5;2;3;1;1;1;776
7878;25;1;2021;1;5;2;3;3;3;3;743
7878;43;1;2021;1;5;2;3;3;3;3;830
7995;20;1;2021;1;5;2;3;3;1;3;404
7995;26;1;2021;1;5;2;3;3;1;1;506
7995;27;1;2021;1;5;2;2;2;1;2;539
7995;30;1;2021;1;5;2;3;3;3;3;568
7995;44;1;2021;1;5;2;3;3;3;3;1054
7995;48;1;2021;1;5;2;3;3;3;3;1581
7995;53;1;2021;1;5;2;3;1;1;1;1263
7995;57;1;2021;1;5;2;3;3;1;3;890
8139;4;1;2021;6;5;3;3;1;1;1;323
8139;8;1;2021;6;5;3;3;3;3;3;282
8139;15;1;2021;6;5;3;8;8;3;3;259
8139;18;1;2021;6;5;3;3;3;3;3;214
8139;22;1;2021;6;5;3;1;1;1;3;317
8139;23;1;2021;6;5;3;3;3;3;3;323
8139;24;1;2021;6;5;3;3;3;1;1;214
8139;27;1;2021;6;5;3;3;1;1;1;541
8139;30;1;2021;6;5;3;3;3;3;3;425
8180;3;1;2021;6;5;3;3;3;3;3;512
8180;7;1;2021;6;5;3;3;3;1;3;999
8180;8;1;2021;6;5;3;3;3;3;3;512
8180;19;1;2021;6;5;3;3;1;3;3;746
8180;32;1;2021;6;5;3;3;3;3;1;500
8180;35;1;2021;6;5;3;3;3;3;3;500
8180;42;1;2021;6;5;3;3;3;3;1;988
8180;43;1;2021;6;5;3;1;2;1;1;337
8180;44;1;2021;6;5;3;3;3;3;3;494
8180;47;1;2021;6;5;3;3;3;3;3;408
8291;2;1;2021;1;5;2;3;3;3;1;395
8291;6;1;2021;1;5;2;2;2;3;3;1127
8291;7;1;2021;1;5;2;3;3;1;3;504
8291;33;1;2021;1;5;2;3;3;3;3;374
8291;38;1;2021;1;5;2;3;3;3;3;450
8291;39;1;2021;1;5;2;3;3;3;3;487
8291;47;1;2021;1;5;2;3;3;3;3;450
8291;48;1;2021;1;5;2;3;1;3;1;450
8291;62;1;2021;1;5;2;3;3;3;1;527
8291;74;1;2021;1;5;2;1;1;3;3;468
8384;26;1;2021;1;5;2;3;3;3;3;784
8384;35;1;2021;1;5;2;3;1;3;3;917
8384;47;1;2021;1;5;2;3;3;3;3;981
8384;63;1;2021;1;5;2;3;1;2;2;688
8384;65;1;2021;1;5;2;3;3;1;3;814
8384;69;1;2021;1;5;2;3;3;3;3;917
8384;83;1;2021;1;5;2;3;3;3;3;878
8407;16;1;2021;1;5;2;3;3;1;3;1009
8407;18;1;2021;1;5;2;3;3;3;3;747
8407;24;1;2021;1;5;2;3;1;3;3;342
8407;29;1;2021;1;5;2;3;3;3;3;262
8407;43;1;2021;1;5;2;3;1;3;3;350
8407;53;1;2021;1;5;2;3;3;3;3;386
8407;54;1;2021;1;5;2;3;1;2;1;700
8407;55;1;2021;1;5;2;2;2;3;3;373
8407;68;1;2021;1;5;2;1;1;1;3;369
8407;73;1;2021;1;5;2;1;1;2;2;373
8414;6;1;2021;1;5;2;3;3;3;3;1556
8414;28;1;2021;1;5;2;3;3;1;1;1947
8414;29;1;2021;1;5;2;3;3;2;2;1947
8414;40;1;2021;1;5;2;3;1;1;3;2125
8414;41;1;2021;1;5;2;3;1;3;1;3291
8414;45;1;2021;1;5;2;3;3;3;3;2194
8414;55;1;2021;1;5;2;3;3;1;1;1875
8414;57;1;2021;1;5;2;3;2;1;3;1947
8414;64;1;2021;1;5;2;3;3;3;1;2983
8414;67;1;2021;1;5;2;3;3;3;3;1556
8489;3;1;2021;1;5;2;3;3;3;3;1051
8489;6;1;2021;1;5;2;3;3;3;3;1237
8489;7;1;2021;1;5;2;3;3;3;3;393
8489;18;1;2021;1;5;2;3;3;3;3;525
8489;20;1;2021;1;5;2;3;3;3;3;553
8489;24;1;2021;1;5;2;3;3;3;3;618
8489;28;1;2021;1;5;2;3;3;3;3;553
8489;64;1;2021;1;5;2;3;3;3;3;410
8489;73;1;2021;1;5;2;2;2;1;1;535
8668;4;1;2021;6;5;3;3;3;1;3;289
8668;6;1;2021;6;5;3;3;3;1;3;795
8668;8;1;2021;6;5;3;1;2;2;2;524
8668;9;1;2021;6;5;3;3;3;1;3;260
8668;17;1;2021;6;5;3;3;3;3;3;795
8668;21;1;2021;6;5;3;3;2;3;1;767
8668;24;1;2021;6;5;3;3;3;2;3;388
8668;25;1;2021;6;5;3;3;1;1;3;579
8668;38;1;2021;6;5;3;3;3;3;3;398
8668;41;1;2021;6;5;3;2;2;2;1;377
8729;2;1;2021;6;5;3;3;3;3;3;393
8729;11;1;2021;6;5;3;3;3;3;3;601
8729;12;1;2021;6;5;3;1;1;1;1;611
8729;14;1;2021;6;5;3;3;8;1;8;393
8729;27;1;2021;6;5;3;3;3;3;3;396
8729;29;1;2021;6;5;3;3;3;3;3;1291
8729;30;1;2021;6;5;3;3;3;3;3;601
8794;4;1;2021;6;5;3;3;3;3;3;359
8794;6;1;2021;6;5;3;3;1;3;3;262
8794;10;1;2021;6;5;3;3;2;1;3;682
8794;22;1;2021;6;5;3;3;1;3;1;286
8794;23;1;2021;6;5;3;3;3;1;1;311
8794;24;1;2021;6;5;3;3;3;1;1;286
8794;25;1;2021;6;5;3;3;3;1;3;341
8794;27;1;2021;6;5;3;2;2;1;1;386
8794;45;1;2021;6;5;3;3;3;1;3;682
8794;46;1;2021;6;5;3;3;1;3;1;386
8862;2;1;2021;6;5;3;3;1;3;1;406
8862;4;1;2021;6;5;3;3;3;1;3;416
8862;20;1;2021;6;5;3;3;2;1;1;423
8862;25;1;2021;6;5;3;3;3;3;3;1204
8862;26;1;2021;6;5;3;3;1;3;1;272
8862;30;1;2021;6;5;3;2;2;2;2;406
8862;31;1;2021;6;5;3;3;3;3;3;395
8862;34;1;2021;6;5;3;3;3;3;3;1239
8862;41;1;2021;6;5;3;3;3;3;1;416
8862;42;1;2021;6;5;3;3;3;3;3;361
9061;6;1;2021;6;5;3;3;3;3;3;450
9061;18;1;2021;6;5;3;3;3;3;3;1165
9061;26;1;2021;6;5;3;1;1;1;1;290
9061;29;1;2021;6;5;3;1;1;1;1;865
9061;30;1;2021;6;5;3;3;3;3;3;292
9061;31;1;2021;6;5;3;1;1;1;1;1283
9061;34;1;2021;6;5;3;3;3;1;3;1165
9061;35;1;2021;6;5;3;3;3;3;3;450
9092;6;1;2021;1;5;2;8;3;3;3;2111
9092;11;1;2021;1;5;2;1;2;1;1;2062
9092;27;1;2021;1;5;2;3;1;1;3;2485
9092;57;1;2021;1;5;2;3;3;1;3;1413
9092;69;1;2021;1;5;2;3;1;1;3;2111
9137;19;1;2021;6;5;3;3;3;3;3;1065
9137;24;1;2021;6;5;3;3;3;1;1;310
9137;33;1;2021;6;5;3;3;3;1;3;596
9137;34;1;2021;6;5;3;3;3;1;3;678
9137;36;1;2021;6;5;3;3;3;3;1;236
9137;42;1;2021;6;5;3;3;3;3;3;234
9137;48;1;2021;6;5;3;8;8;1;1;310
9137;55;1;2021;6;5;3;2;1;3;3;1035
9137;58;1;2021;6;5;3;3;3;1;1;940
9137;59;1;2021;6;5;3;3;3;3;3;260
9161;1;1;2021;6;5;3;3;3;3;3;246
9161;4;1;2021;6;5;3;3;1;1;1;370
9161;6;1;2021;6;5;3;3;3;3;3;379
9161;11;1;2021;6;5;3;3;3;2;2;246
9161;14;1;2021;6;5;3;3;1;1;3;373
9161;15;1;2021;6;5;3;3;3;3;3;370
9161;16;1;2021;6;5;3;3;3;3;1;1079
9161;17;1;2021;6;5;3;3;3;3;3;707
9161;33;1;2021;6;5;3;3;3;3;3;297
9288;2;1;2021;6;5;3;3;3;3;3;410
9288;8;1;2021;6;5;3;3;1;3;3;417
9288;9;1;2021;6;5;3;1;1;1;1;410
9288;17;1;2021;6;5;3;3;3;3;3;835
9288;23;1;2021;6;5;3;3;3;3;3;344
9288;37;1;2021;6;5;3;3;1;1;1;566
9288;43;1;2021;6;5;3;3;3;3;3;439
9288;50;1;2021;6;5;3;3;3;3;3;433
9288;58;1;2021;6;5;3;3;3;3;3;865
9400;1;1;2021;6;5;3;3;3;3;3;1164
9400;4;1;2021;6;5;3;2;2;2;3;424
9400;6;1;2021;6;5;3;3;3;3;3;1559
9400;13;1;2021;6;5;3;3;3;3;3;1028
9400;17;1;2021;6;5;3;3;3;3;3;348
9400;33;1;2021;6;5;3;3;3;3;3;541
9400;34;1;2021;6;5;3;3;3;3;3;505
9400;37;1;2021;6;5;3;3;3;3;3;424
9400;40;1;2021;6;5;3;3;3;3;3;541
9503;2;1;2021;6;5;3;3;3;1;3;655
9503;7;1;2021;6;5;3;3;1;1;1;244
9503;11;1;2021;6;5;3;8;8;2;2;221
9503;14;1;2021;6;5;3;3;3;3;3;244
9503;16;1;2021;6;5;3;3;3;3;3;341
9503;20;1;2021;6;5;3;2;2;2;2;327
9503;21;1;2021;6;5;3;1;1;1;1;671
9503;28;1;2021;6;5;3;3;3;1;3;336
9503;29;1;2021;6;5;3;3;3;3;3;324
9503;33;1;2021;6;5;3;3;1;3;3;327
9533;4;1;2021;1;5;2;3;3;1;3;530
9533;34;1;2021;1;5;2;3;3;3;3;706
9533;36;1;2021;1;5;2;1;1;3;3;1351
9533;44;1;2021;1;5;2;3;3;3;3;1253
9533;50;1;2021;1;5;2;3;3;3;3;627
9533;52;1;2021;1;5;2;3;3;2;2;501
9610;12;1;2021;6;5;3;1;1;1;1;481
9610;15;1;2021;6;5;3;3;3;3;3;614
9610;17;1;2021;6;5;3;3;3;3;3;796
9610;32;1;2021;6;5;3;3;3;1;3;523
9610;34;1;2021;6;5;3;3;1;1;1;1199
9610;35;1;2021;6;5;3;3;1;3;1;589
9610;42;1;2021;6;5;3;3;3;1;3;880
9610;48;1;2021;6;5;3;3;1;3;1;1146
9610;55;1;2021;6;5;3;1;1;1;1;440
9610;57;1;2021;6;5;3;3;3;1;1;583
9707;4;1;2021;1;5;2;1;1;1;1;188
9707;6;1;2021;1;5;2;8;1;3;3;265
9707;8;1;2021;1;5;2;3;3;3;3;237
9707;11;1;2021;1;5;2;3;3;3;3;277
9707;16;1;2021;1;5;2;3;3;3;3;530
9707;19;1;2021;1;5;2;1;1;1;1;208
9707;20;1;2021;1;5;2;3;3;3;3;491
9707;21;1;2021;1;5;2;1;2;1;3;268
9707;24;1;2021;1;5;2;1;1;1;1;268
9707;33;1;2021;1;5;2;3;1;1;1;196
9720;1;1;2021;6;5;3;3;1;1;1;253
9720;2;1;2021;6;5;3;3;3;3;3;259
9720;7;1;2021;6;5;3;3;3;3;3;189
9720;8;1;2021;6;5;3;1;1;1;1;253
9720;9;1;2021;6;5;3;3;3;3;3;250
9720;16;1;2021;6;5;3;3;1;1;1;263
9720;18;1;2021;6;5;3;3;3;1;3;263
9720;22;1;2021;6;5;3;1;1;1;1;263
9720;24;1;2021;6;5;3;1;1;3;1;263
9720;26;1;2021;6;5;3;1;1;1;1;253
9837;1;1;2021;6;5;3;3;3;1;3;258
9837;5;1;2021;6;5;3;3;3;3;3;249
9837;11;1;2021;6;5;3;3;3;1;3;497
9837;14;1;2021;6;5;3;3;3;3;3;256
9837;20;1;2021;6;5;3;3;3;3;3;249
9837;22;1;2021;6;5;3;3;3;1;3;503
9837;26;1;2021;6;5;3;3;3;3;3;249
9837;27;1;2021;6;5;3;3;3;3;3;223
9837;28;1;2021;6;5;3;3;3;3;3;223
9837;29;1;2021;6;5;3;3;1;3;1;258
9942;4;1;2021;6;5;3;3;3;1;3;340
9942;7;1;2021;6;5;3;3;1;3;1;356
9942;8;1;2021;6;5;3;3;3;3;3;350
9942;14;1;2021;6;5;3;8;8;1;8;356
9942;15;1;2021;6;5;3;3;3;1;3;356
9942;18;1;2021;6;5;3;3;3;3;3;234
9942;22;1;2021;6;5;3;8;8;1;3;340
9942;27;1;2021;6;5;3;1;1;1;3;356
9942;35;1;2021;6;5;3;3;3;3;3;311
10042;3;1;2021;6;5;3;3;3;1;3;458
10042;6;1;2021;6;5;3;3;1;1;3;458
10042;14;1;2021;6;5;3;3;3;1;3;458
10042;17;1;2021;6;5;3;3;3;1;3;346
10042;18;1;2021;6;5;3;3;3;3;3;346
10042;19;1;2021;6;5;3;3;3;1;3;463
